dataset,model,seed,emul_Pearson_r,emul_Spearman_r,emul_MAE_to_teacher,emul_RMSE_to_teacher,emul_KL_teacher_to_model,emul_JS_distance,emul_spectral_distance,emul_autocorr_distance,observable_MSE,observable_Pearson_r
ETTm2,CeNN_NS,7,0.0463714599609375,0.23158901151714292,24.827062606811523,65.06953430175781,6.505595921145037,0.3424684126986981,0.8272576928138733,1.7171218370984676,0.04965228959918022,0.9188966155052185
ETTm2,CeNN_Emulator,7,0.05983357131481171,0.24589969110039964,24.836524963378906,65.0781478881836,6.5417359870605765,0.3564681073480861,0.8390557765960693,1.5343786656366905,0.05233374983072281,0.9137635231018066
ETTm2,CeNN_NS,99,0.1991921216249466,0.388825171325007,16.424381256103516,36.392635345458984,6.055388759708909,0.36394625452412777,0.93509840965271,0.7028029857021079,0.02799026481807232,0.9465987682342529
ETTm2,CeNN_Emulator,99,0.15841740369796753,0.3695084968033287,16.530946731567383,36.68394470214844,7.190018910904897,0.3740939651064143,0.9542842507362366,0.7562862730253866,0.028937146067619324,0.9433200359344482
ExchangeRate,CeNN_NS,42,0.34531089663505554,0.4069697815068638,0.13124793767929077,0.23678120970726013,5.884659822347798,0.38226002827073596,0.8047997355461121,2.7035816310177485,0.027872925624251366,0.9560773372650146
ExchangeRate,CeNN_Emulator,42,0.33975738286972046,0.4011901524292454,0.13192783296108246,0.23714052140712738,5.824258556721901,0.3903187821433299,0.8463340401649475,2.7038497246776605,0.03891042619943619,0.9390716552734375
ExchangeRate,CeNN_NS,123,0.5196874141693115,0.5837566949707557,0.1492169201374054,0.2722877562046051,7.5192443542320095,0.41749207297023416,0.7221089601516724,1.8215050949499105,0.02525409124791622,0.9436628818511963
ExchangeRate,CeNN_Emulator,123,0.5110174417495728,0.5826987621299015,0.15020301938056946,0.27456367015838623,7.539214105807331,0.41789617639060733,0.7412763833999634,1.8203267360942788,0.025159070268273354,0.9438999891281128
ExchangeRate,CeNN_NS,2024,-0.16656121611595154,-0.12301328418348591,1.9870221614837646,3.9187214374542236,14.943247536237617,0.5352745539776205,1.226621150970459,1.0449152168572704,0.17950472235679626,0.7392688393592834
ExchangeRate,CeNN_Emulator,2024,-0.1433820128440857,-0.14780098354797788,1.9886517524719238,3.9212419986724854,14.943247536237617,0.5352745539776205,1.188392162322998,0.6260805557434113,0.13458435237407684,0.7957944273948669
ExchangeRate,CeNN_NS,7,0.3014126718044281,0.3840343051757711,0.3622465133666992,0.8779157400131226,5.751621667272991,0.416994866577988,0.9245622754096985,4.646547049025882,0.037610042840242386,0.9455233812332153
